PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.84,0.82,0.12,0.18,1.279249125687
0.78,0.8,0.12,0.34,0.950492351729165
0.86,0.84,0.08,0.24,1.1110404639515
0.94,0.78,0.12,0.3,1.1988424732107
0.82,0.96,0.1,0.34,0.875843595910521
0.96,0.82,0.14,0.32,1.17784412505908
0.88,0.92,0.08,0.22,1.10307718728933
0.96,0.82,0.14,0.18,1.46623324553737
0.84,0.94,0.14,0.36,0.924961626846205
0.98,0.88,0.12,0.38,1.04493318379683
0.94,0.8,0.1,0.22,1.31093118272688
0.92,0.88,0.12,0.34,1.04074268891698
0.8,0.86,0.12,0.24,1.0776935820107
0.88,0.78,0.08,0.3,1.08158080721258
0.9,0.82,0.08,0.26,1.13924813683897
0.92,0.82,0.08,0.24,1.19904586005055
0.88,0.8,0.04,0.24,1.11479012383248
0.94,0.82,0.1,0.18,1.38072975124213
0.92,0.82,0.16,0.16,1.49574267430524
0.92,0.86,0.12,0.3,1.11329120486592
0.9,0.86,0.12,0.32,1.0623124369971
0.94,0.86,0.12,0.28,1.16722140410481
0.84,0.88,0.14,0.34,0.984157078403587
0.82,0.84,0.08,0.22,1.09853771302911
0.96,0.8,0.1,0.28,1.21480031411378
0.86,0.9,0.1,0.24,1.08879741089349
0.94,0.82,0.2,0.22,1.42896415267446
0.92,0.82,0.16,0.52,0.905182314602783
0.84,0.86,0.1,0.32,0.977579180674378
0.94,0.84,0.12,0.2,1.3410505315859
0.94,0.88,0.14,0.22,1.28561661518286
0.92,0.76,0.16,0.34,1.17381558882609
0.84,0.76,0.06,0.24,1.12849202727355
0.92,0.84,0.08,0.24,1.1811804402267
0.84,0.84,0.16,0.2,1.27274056314143
0.92,0.8,0.16,0.2,1.41753265231455
0.78,0.76,0.06,0.4,0.832939725233484
0.94,0.78,0.1,0.1,1.67024244522592
0.92,0.78,0.08,0.3,1.12616277959238
0.9,0.86,0.14,0.24,1.21891459321531
0.82,0.82,0.22,0.28,1.19264319728285
0.88,0.8,0.16,0.26,1.23840606683139
0.9,0.84,0.16,0.24,1.26350125214182
