id,var_id,variable.x,sample_250.x,sample_500.x,variable.y,sample_250.y,sample_500.y
0.2_0.1_0.5_0.9,rmse,rmse_mis,0.142560546839919,0.100455688267011,rmse_single,0.189333928555243,0.170477656840573
0.2_0.1_0.5_0.9,sd,sd_mis,0.142535190947945,0.0990324847862685,sd_single,0.11897706064596,0.0853113912623806
0.2_0.1_1.2_0.7,bias,bias_mis,0.0993886159341941,0.0459792577880946,bias_single,0.0378444538391585,0.0085514522217971
0.2_0.1_1.2_0.7,rmse,rmse_mis,0.41568134091598,0.258621901907212,rmse_single,0.285125409253412,0.184255638199409
0.2_0.1_1.2_0.7,sd,sd_mis,0.403826641226847,0.254629204985192,sd_single,0.282744125590785,0.184149188966357
0.2_0.1_1.2_0.8,bias,bias_mis,0.104553441788569,0.0742822959657032,bias_single,0.223205287200125,0.197821972166872
0.2_0.1_1.2_0.8,rmse,rmse_mis,0.404007604293431,0.272939134906434,rmse_single,0.389286788827333,0.296118595205585
0.2_0.1_1.2_0.8,sd,sd_mis,0.390439707640481,0.262767880130667,sd_single,0.319100970149822,0.220457004981888
0.2_0.1_1.2_0.9,bias,bias_mis,0.139602199974222,0.0788221809162775,bias_single,0.389610148942678,0.353262997894148
0.2_0.1_1.2_0.9,rmse,rmse_mis,0.402832349284008,0.26013132539132,rmse_single,0.510334625385742,0.421580959523993
0.2_0.1_1.2_0.9,sd,sd_mis,0.378058269910179,0.248025980761248,sd_single,0.32977888929447,0.23019285067202
0.2_0.1_2_0.7,bias,bias_mis,0.246715945746473,0.176333509149087,bias_single,0.0597665980908793,0.0312270179494427
0.2_0.1_2_0.7,rmse,rmse_mis,0.675396170124316,0.403014384492781,rmse_single,0.430312240373479,0.283827004778877
0.2_0.1_2_0.7,sd,sd_mis,0.629036497866909,0.362572125521901,sd_single,0.42635473062253,0.282245113856786
0.2_0.1_2_0.8,bias,bias_mis,0.264651333650373,0.235387376942568,bias_single,0.36939332543424,0.31039797022431
0.2_0.1_2_0.8,rmse,rmse_mis,0.67291138764565,0.475208629333357,rmse_single,0.604952709241243,0.445696394166638
0.2_0.1_2_0.8,sd,sd_mis,0.618993182337296,0.413021320006322,sd_single,0.479318367727124,0.320001213482701
0.2_0.1_2_0.9,bias,bias_mis,0.292679790781464,0.247325422716875,bias_single,0.646690552356362,0.601426794722898
0.2_0.1_2_0.9,rmse,rmse_mis,0.679745163480697,0.474776553614393,rmse_single,0.815666738600928,0.698185471899226
0.2_0.1_2_0.9,sd,sd_mis,0.613814952684974,0.405471723377029,sd_single,0.497343853748852,0.354788159891061
