PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.92,0.84,0.72,0.82,1.11314592804408
0.82,0.84,0.94,0.68,1.3328373965291
0.74,0.94,0.82,0.78,1.04290798273484
0.78,0.86,0.82,0.7,1.17064722220352
0.74,0.88,0.88,0.7,1.18264210248383
0.76,0.88,0.8,0.74,1.10283314934651
0.84,0.88,0.9,0.86,1.16496899211187
0.84,0.84,0.84,0.74,1.21686458670353
0.76,0.84,0.94,0.88,1.17699157813717
0.86,0.78,0.88,0.78,1.2961899047157
0.68,0.9,0.82,0.82,1.02114844319589
0.8,0.84,0.88,0.76,1.2169863598825
0.8,0.82,0.92,0.84,1.22187362665322
0.82,0.88,0.86,0.72,1.19876873574607
0.86,0.86,0.86,0.8,1.19235332217498
0.84,0.86,0.84,0.82,1.15365788363197
0.74,0.82,0.94,0.76,1.25381628038023
0.74,0.82,0.86,0.66,1.24546893497566
0.84,0.94,0.94,0.8,1.18049368365222
0.88,0.74,0.84,0.78,1.31249123838188
0.68,0.78,0.88,0.7,1.24120029717692
0.8,0.86,0.92,0.74,1.24539550428081
0.8,0.86,0.84,0.72,1.18790476054429
0.78,0.84,0.88,0.8,1.18240805979158
0.9,0.76,0.84,0.8,1.29045290030349
0.8,0.88,0.88,0.74,1.19313660990952
0.82,0.84,0.9,0.82,1.20997629047513
0.72,0.8,0.96,0.84,1.22946694807682
0.84,0.66,0.92,0.78,1.45536862105407
0.74,0.86,0.88,0.86,1.11177440076056
0.9,0.9,0.92,0.66,1.31415828805663
0.74,0.86,0.82,0.92,1.03414036623433
0.86,0.72,0.8,0.76,1.29758211925769
0.8,0.84,0.88,0.82,1.18211038707963
0.78,0.78,0.92,0.7,1.33986658435262
0.84,0.84,0.9,0.78,1.24475479844197
0.84,0.9,0.9,0.76,1.20317199096775
0.84,0.86,0.86,0.72,1.22810582937719
0.9,0.84,0.78,0.8,1.16387222469061
0.78,0.8,0.86,0.84,1.17709937233518
0.78,0.8,0.84,0.86,1.14870644767771
0.88,0.86,0.84,0.84,1.16437459187823
0.82,0.84,0.86,0.76,1.21094191813402
0.76,0.88,0.92,0.7,1.22868162701706
0.7,0.82,0.88,0.76,1.17794256168091
0.84,0.84,0.88,0.82,1.20410506824084
0.82,0.82,0.92,0.8,1.25706077988755
0.64,0.9,0.92,0.72,1.13275038888134
0.78,0.76,0.94,0.76,1.33754375213763
0.8,0.84,0.9,0.64,1.31175435309728
0.78,0.78,0.88,0.7,1.30234885116958
0.84,0.82,0.88,0.7,1.29724704336617
