Power,combination
0.0540000000000001,0.2_0.05_2_0.5_0.5_100_100_50_0.4
0.0540000000000001,0.2_0.05_2_0.5_0.5_200_200_100_0
0.0610000000000001,0.2_0.05_2_0.5_0.5_200_200_100_0.2
0.0510000000000001,0.2_0.05_2_0.5_0.5_200_200_100_0.4
0.0570000000000001,0.2_0.05_2_0.5_0.5_300_300_150_0
0.0590000000000001,0.2_0.05_2_0.5_0.5_300_300_150_0.2
0.043,0.2_0.05_2_0.5_0.5_300_300_150_0.4
0.375,0.2_0.05_2_0.6_0.5_100_100_50_0
0.207,0.2_0.05_2_0.6_0.5_100_100_50_0.2
0.171,0.2_0.05_2_0.6_0.5_100_100_50_0.4
0.614,0.2_0.05_2_0.6_0.5_200_200_100_0
0.406,0.2_0.05_2_0.6_0.5_200_200_100_0.2
0.291,0.2_0.05_2_0.6_0.5_200_200_100_0.4
0.795,0.2_0.05_2_0.6_0.5_300_300_150_0
0.564,0.2_0.05_2_0.6_0.5_300_300_150_0.2
0.438,0.2_0.05_2_0.6_0.5_300_300_150_0.4
0.899,0.2_0.05_2_0.7_0.5_100_100_50_0
0.626,0.2_0.05_2_0.7_0.5_100_100_50_0.2
0.448,0.2_0.05_2_0.7_0.5_100_100_50_0.4
0.994,0.2_0.05_2_0.7_0.5_200_200_100_0
0.879,0.2_0.05_2_0.7_0.5_200_200_100_0.2
0.746,0.2_0.05_2_0.7_0.5_200_200_100_0.4
1,0.2_0.05_2_0.7_0.5_300_300_150_0
0.982,0.2_0.05_2_0.7_0.5_300_300_150_0.2
0.894,0.2_0.05_2_0.7_0.5_300_300_150_0.4
0.922,0.2_0.1_1.2_0.3_0.5_100_100_50_0
0.779,0.2_0.1_1.2_0.3_0.5_100_100_50_0.2
0.685,0.2_0.1_1.2_0.3_0.5_100_100_50_0.4
0.999,0.2_0.1_1.2_0.3_0.5_200_200_100_0
0.974,0.2_0.1_1.2_0.3_0.5_200_200_100_0.2
0.934,0.2_0.1_1.2_0.3_0.5_200_200_100_0.4
1,0.2_0.1_1.2_0.3_0.5_300_300_150_0
0.999,0.2_0.1_1.2_0.3_0.5_300_300_150_0.2
0.989,0.2_0.1_1.2_0.3_0.5_300_300_150_0.4
0.377,0.2_0.1_1.2_0.4_0.5_100_100_50_0
0.283,0.2_0.1_1.2_0.4_0.5_100_100_50_0.2
0.207,0.2_0.1_1.2_0.4_0.5_100_100_50_0.4
0.636,0.2_0.1_1.2_0.4_0.5_200_200_100_0
0.491,0.2_0.1_1.2_0.4_0.5_200_200_100_0.2
0.384,0.2_0.1_1.2_0.4_0.5_200_200_100_0.4
0.795,0.2_0.1_1.2_0.4_0.5_300_300_150_0
0.632,0.2_0.1_1.2_0.4_0.5_300_300_150_0.2
0.471,0.2_0.1_1.2_0.4_0.5_300_300_150_0.4
0.0600000000000001,0.2_0.1_1.2_0.5_0.5_100_100_50_0
0.0620000000000001,0.2_0.1_1.2_0.5_0.5_100_100_50_0.2
0.043,0.2_0.1_1.2_0.5_0.5_100_100_50_0.4
0.0590000000000001,0.2_0.1_1.2_0.5_0.5_200_200_100_0
0.048,0.2_0.1_1.2_0.5_0.5_200_200_100_0.2
0.0580000000000001,0.2_0.1_1.2_0.5_0.5_200_200_100_0.4
0.039,0.2_0.1_1.2_0.5_0.5_300_300_150_0
0.0520000000000001,0.2_0.1_1.2_0.5_0.5_300_300_150_0.2
0.064,0.2_0.1_1.2_0.5_0.5_300_300_150_0.4
0.355,0.2_0.1_1.2_0.6_0.5_100_100_50_0
0.219,0.2_0.1_1.2_0.6_0.5_100_100_50_0.2
0.156,0.2_0.1_1.2_0.6_0.5_100_100_50_0.4
0.587,0.2_0.1_1.2_0.6_0.5_200_200_100_0
0.368,0.2_0.1_1.2_0.6_0.5_200_200_100_0.2
0.273,0.2_0.1_1.2_0.6_0.5_200_200_100_0.4
0.773,0.2_0.1_1.2_0.6_0.5_300_300_150_0
0.511,0.2_0.1_1.2_0.6_0.5_300_300_150_0.2
0.391,0.2_0.1_1.2_0.6_0.5_300_300_150_0.4
0.875,0.2_0.1_1.2_0.7_0.5_100_100_50_0
0.601,0.2_0.1_1.2_0.7_0.5_100_100_50_0.2
0.416,0.2_0.1_1.2_0.7_0.5_100_100_50_0.4
0.992,0.2_0.1_1.2_0.7_0.5_200_200_100_0
0.878,0.2_0.1_1.2_0.7_0.5_200_200_100_0.2
0.734,0.2_0.1_1.2_0.7_0.5_200_200_100_0.4
1,0.2_0.1_1.2_0.7_0.5_300_300_150_0
0.966,0.2_0.1_1.2_0.7_0.5_300_300_150_0.2
0.878,0.2_0.1_1.2_0.7_0.5_300_300_150_0.4
0.97,0.2_0.1_2_0.3_0.5_100_100_50_0
0.895,0.2_0.1_2_0.3_0.5_100_100_50_0.2
0.823,0.2_0.1_2_0.3_0.5_100_100_50_0.4
1,0.2_0.1_2_0.3_0.5_200_200_100_0
0.996,0.2_0.1_2_0.3_0.5_200_200_100_0.2
0.984,0.2_0.1_2_0.3_0.5_200_200_100_0.4
1,0.2_0.1_2_0.3_0.5_300_300_150_0
1,0.2_0.1_2_0.3_0.5_300_300_150_0.2
1,0.2_0.1_2_0.3_0.5_300_300_150_0.4
0.455,0.2_0.1_2_0.4_0.5_100_100_50_0
0.341,0.2_0.1_2_0.4_0.5_100_100_50_0.2
0.255,0.2_0.1_2_0.4_0.5_100_100_50_0.4
0.756,0.2_0.1_2_0.4_0.5_200_200_100_0
0.56,0.2_0.1_2_0.4_0.5_200_200_100_0.2
0.466,0.2_0.1_2_0.4_0.5_200_200_100_0.4
0.886,0.2_0.1_2_0.4_0.5_300_300_150_0
0.719,0.2_0.1_2_0.4_0.5_300_300_150_0.2
0.584,0.2_0.1_2_0.4_0.5_300_300_150_0.4
0.0560000000000001,0.2_0.1_2_0.5_0.5_100_100_50_0
0.0659999999999999,0.2_0.1_2_0.5_0.5_100_100_50_0.2
0.0540000000000001,0.2_0.1_2_0.5_0.5_100_100_50_0.4
0.045,0.2_0.1_2_0.5_0.5_200_200_100_0
0.0620000000000001,0.2_0.1_2_0.5_0.5_200_200_100_0.2
0.0510000000000001,0.2_0.1_2_0.5_0.5_200_200_100_0.4
0.0560000000000001,0.2_0.1_2_0.5_0.5_300_300_150_0
0.05,0.2_0.1_2_0.5_0.5_300_300_150_0.2
0.0580000000000001,0.2_0.1_2_0.5_0.5_300_300_150_0.4
0.399,0.2_0.1_2_0.6_0.5_100_100_50_0
0.235,0.2_0.1_2_0.6_0.5_100_100_50_0.2
0.194,0.2_0.1_2_0.6_0.5_100_100_50_0.4
0.674,0.2_0.1_2_0.6_0.5_200_200_100_0
0.448,0.2_0.1_2_0.6_0.5_200_200_100_0.2
0.309,0.2_0.1_2_0.6_0.5_200_200_100_0.4
0.835,0.2_0.1_2_0.6_0.5_300_300_150_0
0.597,0.2_0.1_2_0.6_0.5_300_300_150_0.2
0.447,0.2_0.1_2_0.6_0.5_300_300_150_0.4
0.928,0.2_0.1_2_0.7_0.5_100_100_50_0
0.636,0.2_0.1_2_0.7_0.5_100_100_50_0.2
0.518,0.2_0.1_2_0.7_0.5_100_100_50_0.4
0.997,0.2_0.1_2_0.7_0.5_200_200_100_0
0.914,0.2_0.1_2_0.7_0.5_200_200_100_0.2
0.793,0.2_0.1_2_0.7_0.5_200_200_100_0.4
1,0.2_0.1_2_0.7_0.5_300_300_150_0
0.99,0.2_0.1_2_0.7_0.5_300_300_150_0.2
0.911,0.2_0.1_2_0.7_0.5_300_300_150_0.4
